X,Y,rand_point_id,id
650152.406966182,7536431.61463435,"0","1"
650051.042281739,7536437.71967586,"1","1"
649473.682724484,7536472.49316808,"2","1"
650515.824805969,7536409.72652794,"3","1"
648698.484447312,7536519.18218694,"4","1"
649066.775441134,7536497.00057785,"5","1"
651019.145430375,7536379.41228858,"6","1"
648687.252811593,7536519.85865136,"7","1"
651076.505695682,7536375.95756662,"8","1"
649554.317145274,7536467.63667897,"9","1"
650763.070561698,7536394.83529032,"10","1"
648628.456020944,7536523.39989307,"11","1"
649437.21635523,7536474.68948231,"12","1"
650570.320387429,7536406.44434156,"13","1"
650843.543079854,7536389.98855235,"14","1"
649380.385769187,7536478.11230248,"15","1"
650833.00614397,7536390.62317605,"16","1"
649693.033240999,7536459.28201849,"17","1"
649807.760998556,7536452.37213931,"18","1"
650236.58426051,7536426.54476333,"19","1"
650962.346219804,7536382.83321906,"20","1"
648558.064306929,7536527.63947945,"21","1"
649726.906232693,7536457.24189947,"22","1"
649573.426552459,7536466.4857483,"23","1"
650183.395358212,7536429.7482504,"24","1"
650991.038967299,7536381.10509831,"25","1"
649767.760641075,7536454.78130029,"26","1"
649819.3579038,7536451.67367526,"27","1"
648772.852556513,7536514.70310829,"28","1"
649088.366770099,7536495.70016478,"29","1"
649921.320236535,7536445.53263829,"30","1"
648604.743864453,7536524.82804036,"31","1"
651150.918821008,7536371.47577672,"32","1"
648910.516324005,7536506.41182795,"33","1"
650027.615734242,7536439.13062136,"34","1"
651209.271575032,7536367.96127867,"35","1"
649234.407556859,7536486.90434925,"36","1"
649957.435156427,7536443.35749133,"37","1"
648845.557077281,7536510.32422506,"38","1"
648947.818552668,7536504.16517118,"39","1"
650979.299112537,7536381.81217199,"40","1"
650017.397395741,7536439.74605642,"41","1"
649888.883511409,7536447.48625315,"42","1"
649031.94025592,7536499.09864832,"43","1"
650787.594387969,7536393.35825738,"44","1"
650214.14815595,7536427.89605594,"45","1"
649870.508367028,7536448.59296028,"46","1"
649407.375455788,7536476.48675451,"47","1"
649330.474361924,7536481.11839099,"48","1"
650656.244967503,7536401.26923416,"49","1"
649843.405171861,7536450.2253447,"50","1"
651034.523539315,7536378.48608836,"51","1"
649352.905892107,7536479.76737388,"52","1"
649102.028520996,7536494.87733821,"53","1"
649524.670592231,7536469.42224598,"54","1"
648593.909966943,7536525.48054961,"55","1"
650384.358873331,7536417.64452207,"56","1"
649612.846658477,7536464.11153498,"57","1"
648810.257140774,7536512.4502868,"58","1"
649286.359605793,7536483.77535598,"59","1"
650635.093658781,7536402.54314547,"60","1"
649487.183741296,7536471.68002228,"61","1"
651058.4728402,7536377.04365821,"62","1"
650461.599432479,7536412.99244011,"63","1"
650878.833798119,7536387.86304581,"64","1"
651127.601400343,7536372.88014967,"65","1"
648796.537124277,7536513.27662263,"66","1"
650124.354909674,7536433.30416725,"67","1"
649055.764459322,7536497.66375261,"68","1"
649910.408161413,7536446.18985606,"69","1"
650549.36054503,7536407.70672114,"70","1"
648869.267853586,7536508.89616089,"71","1"
650288.509354245,7536423.41739353,"72","1"
649988.941167339,7536441.45993198,"73","1"
648886.959343205,7536507.83062925,"74","1"
649395.397795033,7536477.20815089,"75","1"
650902.830158811,7536386.41778133,"76","1"
650359.680221733,7536419.1308799,"77","1"
650926.290514505,7536385.00479961,"78","1"
651188.365283148,7536369.22043299,"79","1"
650340.446830021,7536420.28927797,"80","1"
649600.442469837,7536464.85862049,"81","1"
650729.407788843,7536396.86274817,"82","1"
648726.360530147,7536517.50325267,"83","1"
650671.665655137,7536400.34046948,"84","1"
648642.283222464,7536522.56710165,"85","1"
650604.936863723,7536404.35944359,"86","1"
649131.995922203,7536493.07244699,"87","1"
649275.358514837,7536484.43793504,"88","1"
650942.199949474,7536384.04659843,"89","1"
650196.415761772,7536428.9640512,"90","1"
649010.411737439,7536500.39527841,"91","1"
648753.157281866,7536515.88932487,"92","1"
650272.947193466,7536424.35467891,"93","1"
649646.836462537,7536462.06438053,"94","1"
649218.836482173,7536487.84217151,"95","1"
648960.529264242,7536503.39962426,"96","1"
650432.033985865,7536414.77312221,"97","1"
649677.208492271,7536460.23511915,"98","1"
648738.045566066,7536516.79948064,"99","1"
649145.813846621,7536492.24021432,"100","1"
650474.54112285,7536412.21298169,"101","1"
649977.300161283,7536442.16105216,"102","1"
648716.345181226,7536518.10646198,"103","1"
650072.671610411,7536436.41697414,"104","1"
649204.415474979,7536488.71072695,"105","1"
650006.991337141,7536440.37279758,"106","1"
651224.81502999,7536367.02511991,"107","1"
650302.172874184,7536422.5944604,"108","1"
649707.94190346,7536458.38409232,"109","1"
650396.039238906,7536416.94103133,"110","1"
648936.382121886,7536504.8539701,"111","1"
649500.570672621,7536470.87374766,"112","1"
649245.505614061,7536486.23593006,"113","1"
650620.314700172,7536403.43325977,"114","1"
650533.256710691,7536408.67663071,"115","1"
650039.370049751,7536438.42267673,"116","1"
649363.897549412,7536479.105363,"117","1"
650701.387478917,7536398.55036903,"118","1"
648676.295007784,7536520.5186233,"119","1"
649299.804622597,7536482.96558297,"120","1"
650083.202599331,7536435.78270861,"121","1"
650592.648632232,7536405.09954517,"122","1"
649662.393998161,7536461.12737371,"123","1"
650411.057065225,7536416.03653039,"124","1"
649077.459993959,7536496.3570634,"125","1"
649177.912469002,7536490.30696288,"126","1"
650260.602974565,7536425.09815253,"127","1"
649631.747213378,7536462.97318317,"128","1"
650741.94255993,7536396.10779788,"129","1"
650169.60237588,7536430.57898085,"130","1"
649535.585327795,7536468.76486798,"131","1"
649462.899174797,7536473.14264496,"132","1"
649313.632782581,7536482.13273382,"133","1"
650443.775081427,7536414.06597379,"134","1"
650484.684726753,7536411.60204778,"135","1"
650140.350266299,7536432.34079113,"136","1"
648543.94839492,7536528.48965947,"137","1"
648834.916367608,7536510.96509889,"138","1"
648824.723867661,7536511.57897774,"139","1"
650108.659582855,7536434.24947303,"140","1"
651172.053431469,7536370.20287112,"141","1"
649261.018557601,7536485.30160896,"142","1"
648661.492523299,7536521.41015454,"143","1"
649796.3461488,7536453.05963843,"144","1"
649120.401236178,7536493.77077738,"145","1"
649860.389699222,7536449.20239233,"146","1"
649938.573706421,7536444.49348792,"147","1"
649341.713076831,7536480.44150021,"148","1"
650421.984914383,7536415.37836257,"149","1"
650330.363842381,7536420.89656106,"150","1"
650867.087573878,7536388.57050312,"151","1"
649742.258757821,7536456.31724012,"152","1"
649420.676083169,7536475.68567786,"153","1"
650249.040017663,7536425.79457193,"154","1"
650504.963351651,7536410.3806969,"155","1"
650094.516518767,7536435.10128837,"156","1"
650686.996423429,7536399.41712052,"157","1"
649021.821199093,7536499.7081038,"158","1"
650313.842389611,7536421.89162315,"159","1"
650803.694874072,7536392.38854947,"160","1"
651096.60519464,7536374.74700423,"161","1"
650226.513760465,7536427.1512943,"162","1"
648786.277669376,7536513.89453407,"163","1"
649449.37158219,7536473.95739138,"164","1"
651006.2893229,7536380.18659247,"165","1"
649832.422283722,7536450.88682743,"166","1"
650061.304738464,7536437.10158363,"167","1"
649167.647219214,7536490.92522334,"168","1"
651114.257786644,7536373.68381533,"169","1"
648981.466512347,7536502.1386055,"170","1"
649587.358877673,7536465.64662544,"171","1"
648997.925310676,7536501.14731699,"172","1"
649755.12484794,7536455.54233499,"173","1"
650580.58296976,7536405.82624176,"174","1"
648576.973914774,7536526.5005824,"175","1"
650890.071548766,7536387.1862131,"176","1"
648614.979214993,7536524.21158069,"177","1"
650820.595958516,7536391.37062274,"178","1"
650774.036238086,7536394.17484422,"179","1"
651198.52308048,7536368.60864423,"180","1"
650711.772743772,7536397.92488024,"181","1"
648900.450022943,7536507.01810603,"182","1"
649785.32343716,7536453.72351967,"183","1"
651162.020305934,7536370.80715109,"184","1"
649189.704276126,7536489.59676019,"185","1"
648922.797120798,7536505.67217415,"186","1"
649044.918288827,7536498.31700105,"187","1"
651048.224305171,7536377.66091197,"188","1"
650370.27984948,7536418.49248037,"189","1"
649899.044692524,7536446.87426059,"190","1"
648855.903919013,7536509.70105044,"191","1"
650646.096906867,7536401.88043649,"192","1"
651137.975512523,7536372.2553326,"193","1"
649157.536170302,7536491.53419651,"194","1"
649512.417200799,7536470.1602492,"195","1"
