;R2(abla)_1;R2(abla)_2;R2(abla)_3;R2(accu)_1;R2(accu)_2;R2(accu)_3;;Correct;;;;;;;R1 inf à mean(R1) abla;;;R1 inf à mean(R1) accu;;;;R1 sup à mean(R1) abla;;;R1 sup à mean(R1) accu;;
1959;0,92;0,92;0,95;0,82;0,95;0,99;;0,92;0,92;0,95;0,82;0,95;0,99;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;0,92;0,92;0,95;0,82;0,95;0,99
1961;0,91;0,92;0,95;-0,6;0,09;0,92;;0,91;0,92;0,95;FALSE;0,09;0,92;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;0,91;0,92;0,95;FALSE;0,09;0,92
1962;0,79;0,79;0,8;0,91;0,91;0,94;;0,79;0,79;0,8;0,91;0,91;0,94;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;0,79;0,79;0,8;0,91;0,91;0,94
1964;-2,04;0,66;0,67;0,77;0,92;0,94;;FALSE;0,66;0,67;0,77;0,92;0,94;;FALSE;FALSE;FALSE;0,77;0,92;0,94;;FALSE;0,66;0,67;FALSE;FALSE;FALSE
1965;-24,33;-7,14;-2,02;0,93;0,94;0,94;;FALSE;FALSE;FALSE;0,93;0,94;0,94;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;FALSE;FALSE;FALSE;0,93;0,94;0,94
1966;0,9;0,98;0,99;0,9;0,91;0,96;;0,9;0,98;0,99;0,9;0,91;0,96;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;0,9;0,98;0,99;0,9;0,91;0,96
1967;-0,87;0,9;0,92;0,87;0,9;0,96;;FALSE;0,9;0,92;0,87;0,9;0,96;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;FALSE;0,9;0,92;0,87;0,9;0,96
1968;-0,02;0,87;0,87;0,89;0,9;0,94;;FALSE;0,87;0,87;0,89;0,9;0,94;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;FALSE;0,87;0,87;0,89;0,9;0,94
1969;-0,06;0,94;0,95;0,81;0,84;0,95;;FALSE;0,94;0,95;0,81;0,84;0,95;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;FALSE;0,94;0,95;0,81;0,84;0,95
1970;0,61;0,92;0,92;0,65;0,66;0,67;;0,61;0,92;0,92;0,65;0,66;0,67;;FALSE;FALSE;FALSE;0,65;0,66;0,67;;0,61;0,92;0,92;FALSE;FALSE;FALSE
1971;0,62;0,82;0,89;0,78;0,83;0,89;;0,62;0,82;0,89;0,78;0,83;0,89;;FALSE;FALSE;FALSE;0,78;0,83;0,89;;0,62;0,82;0,89;FALSE;FALSE;FALSE
1972;0,58;0,9;0,93;0,21;0,77;0,78;;0,58;0,9;0,93;0,21;0,77;0,78;;0,58;0,9;0,93;0,21;0,77;0,78;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
1973;-1,71;0,74;0,8;0,8;0,8;0,9;;FALSE;0,74;0,8;0,8;0,8;0,9;;FALSE;FALSE;FALSE;0,8;0,8;0,9;;FALSE;0,74;0,8;FALSE;FALSE;FALSE
1974;-0,04;0,86;0,92;0,62;0,81;0,81;;FALSE;0,86;0,92;0,62;0,81;0,81;;FALSE;FALSE;FALSE;0,62;0,81;0,81;;FALSE;0,86;0,92;FALSE;FALSE;FALSE
1975;0,21;0,86;0,89;0,92;0,92;0,96;;0,21;0,86;0,89;0,92;0,92;0,96;;0,21;0,86;0,89;FALSE;FALSE;FALSE;;FALSE;FALSE;FALSE;0,92;0,92;0,96
1976;-2,11;0,76;0,81;0,83;0,88;0,93;;FALSE;0,76;0,81;0,83;0,88;0,93;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;FALSE;0,76;0,81;0,83;0,88;0,93
1977;-0,5;0,85;0,85;0,88;0,92;0,94;;FALSE;0,85;0,85;0,88;0,92;0,94;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;FALSE;0,85;0,85;0,88;0,92;0,94
1978;0,49;0,96;0,96;0,66;0,98;0,98;;0,49;0,96;0,96;0,66;0,98;0,98;;0,49;0,96;0,96;0,66;0,98;0,98;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
1979;0,02;0,96;0,96;0,85;0,93;0,96;;0,02;0,96;0,96;0,85;0,93;0,96;;0,02;0,96;0,96;FALSE;FALSE;FALSE;;FALSE;FALSE;FALSE;0,85;0,93;0,96
1980;0,64;0,93;0,97;-0,14;0,77;0,87;;0,64;0,93;0,97;FALSE;0,77;0,87;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;0,64;0,93;0,97;FALSE;0,77;0,87
1981;0,16;0,82;0,85;0,88;0,92;0,95;;0,16;0,82;0,85;0,88;0,92;0,95;;0,16;0,82;0,85;FALSE;FALSE;FALSE;;FALSE;FALSE;FALSE;0,88;0,92;0,95
1982;-1,76;0,76;0,79;0,89;0,9;0,91;;FALSE;0,76;0,79;0,89;0,9;0,91;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;FALSE;0,76;0,79;0,89;0,9;0,91
1983;-1,01;0,51;0,81;0,95;0,95;0,96;;FALSE;0,51;0,81;0,95;0,95;0,96;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;FALSE;0,51;0,81;0,95;0,95;0,96
1984;-0,33;0,76;0,79;0,69;0,83;0,9;;FALSE;0,76;0,79;0,69;0,83;0,9;;FALSE;FALSE;FALSE;0,69;0,83;0,9;;FALSE;0,76;0,79;FALSE;FALSE;FALSE
1985;0,81;0,92;0,96;-0,45;-0,07;0,2;;0,81;0,92;0,96;FALSE;FALSE;0,2;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;0,81;0,92;0,96;FALSE;FALSE;0,2
1986;-1,07;0,72;0,83;0,8;0,84;0,93;;FALSE;0,72;0,83;0,8;0,84;0,93;;FALSE;FALSE;FALSE;0,8;0,84;0,93;;FALSE;0,72;0,83;FALSE;FALSE;FALSE
1987;-0,09;0,59;0,62;0,82;0,82;0,85;;FALSE;0,59;0,62;0,82;0,82;0,85;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;FALSE;0,59;0,62;0,82;0,82;0,85
1988;0,81;0,91;0,96;0,09;0,75;0,8;;0,81;0,91;0,96;0,09;0,75;0,8;;FALSE;FALSE;FALSE;0,09;0,75;0,8;;0,81;0,91;0,96;FALSE;FALSE;FALSE
1989;-0,4;0,64;0,67;0,81;0,81;0,84;;FALSE;0,64;0,67;0,81;0,81;0,84;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;FALSE;0,64;0,67;0,81;0,81;0,84
1990;0,2;0,43;0,74;0,65;0,68;0,87;;0,2;0,43;0,74;0,65;0,68;0,87;;0,2;0,43;0,74;0,65;0,68;0,87;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
1991;0,45;0,88;0,91;0,79;0,82;0,86;;0,45;0,88;0,91;0,79;0,82;0,86;;0,45;0,88;0,91;0,79;0,82;0,86;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
1992;-1,31;0,72;0,75;0,94;0,94;0,94;;FALSE;0,72;0,75;0,94;0,94;0,94;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;FALSE;0,72;0,75;0,94;0,94;0,94
1993;-0,13;0,83;0,84;0,79;0,83;0,85;;FALSE;0,83;0,84;0,79;0,83;0,85;;FALSE;FALSE;FALSE;0,79;0,83;0,85;;FALSE;0,83;0,84;FALSE;FALSE;FALSE
1994;-0,16;0,7;0,7;0,88;0,91;0,97;;FALSE;0,7;0,7;0,88;0,91;0,97;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;FALSE;0,7;0,7;0,88;0,91;0,97
1995;0,36;0,84;0,85;0,92;0,92;0,93;;0,36;0,84;0,85;0,92;0,92;0,93;;0,36;0,84;0,85;FALSE;FALSE;FALSE;;FALSE;FALSE;FALSE;0,92;0,92;0,93
1996;0,37;0,81;0,91;0,89;0,91;0,93;;0,37;0,81;0,91;0,89;0,91;0,93;;0,37;0,81;0,91;FALSE;FALSE;FALSE;;FALSE;FALSE;FALSE;0,89;0,91;0,93
1997;-0,12;0,71;0,86;0,4;0,64;0,67;;FALSE;0,71;0,86;0,4;0,64;0,67;;FALSE;FALSE;FALSE;0,4;0,64;0,67;;FALSE;0,71;0,86;FALSE;FALSE;FALSE
1998;0,93;0,96;0,96;0,87;0,87;0,95;;0,93;0,96;0,96;0,87;0,87;0,95;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;0,93;0,96;0,96;0,87;0,87;0,95
1999;0,95;0,95;0,98;0,8;0,8;0,87;;0,95;0,95;0,98;0,8;0,8;0,87;;FALSE;FALSE;FALSE;0,8;0,8;0,87;;0,95;0,95;0,98;FALSE;FALSE;FALSE
2000;-0,44;0,5;0,51;0,93;0,95;0,96;;FALSE;0,5;0,51;0,93;0,95;0,96;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;FALSE;0,5;0,51;0,93;0,95;0,96
2001;0,7;0,94;0,97;0,53;0,67;0,98;;0,7;0,94;0,97;0,53;0,67;0,98;;FALSE;FALSE;FALSE;0,53;0,67;0,98;;0,7;0,94;0,97;FALSE;FALSE;FALSE
2002;0,57;0,94;0,97;0,9;0,9;0,9;;0,57;0,94;0,97;0,9;0,9;0,9;;0,57;0,94;0,97;FALSE;FALSE;FALSE;;FALSE;FALSE;FALSE;0,9;0,9;0,9
2003;0,98;0,98;0,99;0,97;0,97;0,99;;0,98;0,98;0,99;0,97;0,97;0,99;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;0,98;0,98;0,99;0,97;0,97;0,99
2004;0,7;0,8;0,86;0,81;0,82;0,82;;0,7;0,8;0,86;0,81;0,82;0,82;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;0,7;0,8;0,86;0,81;0,82;0,82
2005;0,79;0,96;0,97;0,85;0,85;0,9;;0,79;0,96;0,97;0,85;0,85;0,9;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;0,79;0,96;0,97;0,85;0,85;0,9
2006;0,75;0,93;0,94;0,75;0,81;0,83;;0,75;0,93;0,94;0,75;0,81;0,83;;FALSE;FALSE;FALSE;0,75;0,81;0,83;;0,75;0,93;0,94;FALSE;FALSE;FALSE
2007;0,24;0,53;0,76;0,88;0,89;0,92;;0,24;0,53;0,76;0,88;0,89;0,92;;0,24;0,53;0,76;FALSE;FALSE;FALSE;;FALSE;FALSE;FALSE;0,88;0,89;0,92
2008;0,19;0,71;0,83;0,94;0,94;0,94;;0,19;0,71;0,83;0,94;0,94;0,94;;0,19;0,71;0,83;FALSE;FALSE;FALSE;;FALSE;FALSE;FALSE;0,94;0,94;0,94
2009;0,28;0,91;0,92;0,87;0,88;0,88;;0,28;0,91;0,92;0,87;0,88;0,88;;0,28;0,91;0,92;FALSE;FALSE;FALSE;;FALSE;FALSE;FALSE;0,87;0,88;0,88
2010;0,52;0,91;0,94;0,97;0,98;0,98;;0,52;0,91;0,94;0,97;0,98;0,98;;0,52;0,91;0,94;FALSE;FALSE;FALSE;;FALSE;FALSE;FALSE;0,97;0,98;0,98
2011;0,94;0,98;0,98;0,91;0,92;0,95;;0,94;0,98;0,98;0,91;0,92;0,95;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;0,94;0,98;0,98;0,91;0,92;0,95
2012;0,29;0,95;0,95;0,95;0,95;0,99;;0,29;0,95;0,95;0,95;0,95;0,99;;0,29;0,95;0,95;FALSE;FALSE;FALSE;;FALSE;FALSE;FALSE;0,95;0,95;0,99
2013;0,92;0,99;0,99;0,97;0,97;0,97;;0,92;0,99;0,99;0,97;0,97;0,97;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;0,92;0,99;0,99;0,97;0,97;0,97
2014;0,7;0,94;0,96;0,9;0,9;0,92;;0,7;0,94;0,96;0,9;0,9;0,92;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;0,7;0,94;0,96;0,9;0,9;0,92
2015;0,56;0,7;0,73;0,89;0,94;0,95;;0,56;0,7;0,73;0,89;0,94;0,95;;0,56;0,7;0,73;FALSE;FALSE;FALSE;;FALSE;FALSE;FALSE;0,89;0,94;0,95
2016;0,37;0,89;0,9;-1,32;0,41;0,57;;0,37;0,89;0,9;FALSE;0,41;0,57;;0,37;0,89;0,9;FALSE;FALSE;FALSE;;FALSE;FALSE;FALSE;FALSE;0,41;0,57
2017;0,72;0,88;0,94;0,86;0,95;0,97;;0,72;0,88;0,94;0,86;0,95;0,97;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;0,72;0,88;0,94;0,86;0,95;0,97
2018;0,91;0,98;0,98;-0,84;0,63;0,65;;0,91;0,98;0,98;FALSE;0,63;0,65;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;0,91;0,98;0,98;FALSE;0,63;0,65
2019;0,91;0,95;0,97;0,53;0,88;0,95;;0,91;0,95;0,97;0,53;0,88;0,95;;FALSE;FALSE;FALSE;0,53;0,88;0,95;;0,91;0,95;0,97;FALSE;FALSE;FALSE
;-0,249661017;0,698813559;0,827457627;0,678305085;0,828983051;0,888644068;;0,609487179;0,833965517;0,876551724;0,803148148;0,844482759;0,888644068;;0,344705882;0,823529412;0,882352941;0,628333333;0,795555556;0,86;;0,814090909;0,838292683;0,874146341;0,890555556;0,8665;0,901219512
;;;;;;;;20;1;1;3;1;0;;;;;;;;;;;;;;
