,R2(abla)_1,R2(abla)_2,R2(abla)_3,R2(accu)_1,R2(accu)_2,R2(accu)_3
1959,0.92,0.92,0.95,0.82,0.95,0.99
1960,0.92,0.92,0.95,0.82,0.95,0.99
1961,0.91,0.92,0.95,-0.6,0.09,0.92
1962,0.79,0.79,0.8,0.91,0.91,0.94
1963,0.79,0.79,0.8,0.91,0.91,0.94
1964,-2.04,0.66,0.67,0.77,0.92,0.94
1965,-24.33,-7.14,-2.02,0.93,0.94,0.94
1966,0.9,0.98,0.99,0.9,0.91,0.96
1967,-0.87,0.9,0.92,0.87,0.9,0.96
1968,-0.02,0.87,0.87,0.89,0.9,0.94
1969,-0.06,0.94,0.95,0.81,0.84,0.95
1970,0.61,0.92,0.92,0.65,0.66,0.67
1971,0.62,0.82,0.89,0.78,0.83,0.89
1972,0.58,0.9,0.93,0.21,0.77,0.78
1973,-1.71,0.74,0.8,0.8,0.8,0.9
1974,-0.04,0.86,0.92,0.62,0.81,0.81
1975,0.21,0.86,0.89,0.92,0.92,0.96
1976,-2.11,0.76,0.81,0.83,0.88,0.93
1977,-0.5,0.85,0.85,0.88,0.92,0.94
1978,0.49,0.96,0.96,0.66,0.98,0.98
1979,0.02,0.96,0.96,0.85,0.93,0.96
1980,0.64,0.93,0.97,-0.14,0.77,0.87
1981,0.16,0.82,0.85,0.88,0.92,0.95
1982,-1.76,0.76,0.79,0.89,0.9,0.91
1983,-1.01,0.51,0.81,0.95,0.95,0.96
1984,-0.33,0.76,0.79,0.69,0.83,0.9
1985,0.81,0.92,0.96,-0.45,-0.07,0.2
1986,-1.07,0.72,0.83,0.8,0.84,0.93
1987,-0.09,0.59,0.62,0.82,0.82,0.85
1988,0.81,0.91,0.96,0.09,0.75,0.8
1989,-0.4,0.64,0.67,0.81,0.81,0.84
1990,0.2,0.43,0.74,0.65,0.68,0.87
1991,0.45,0.88,0.91,0.79,0.82,0.86
1992,-1.31,0.72,0.75,0.94,0.94,0.94
1993,-0.13,0.83,0.84,0.79,0.83,0.85
1994,-0.16,0.7,0.7,0.88,0.91,0.97
1995,0.36,0.84,0.85,0.92,0.92,0.93
1996,0.37,0.81,0.91,0.89,0.91,0.93
1997,-0.12,0.71,0.86,0.4,0.64,0.67
1998,0.93,0.96,0.96,0.87,0.87,0.95
1999,0.95,0.95,0.98,0.8,0.8,0.87
2000,-0.44,0.5,0.51,0.93,0.95,0.96
2001,0.7,0.94,0.97,0.53,0.67,0.98
2002,0.57,0.94,0.97,0.9,0.9,0.9
2003,0.98,0.98,0.99,0.97,0.97,0.99
2004,0.7,0.8,0.86,0.81,0.82,0.82
2005,0.79,0.96,0.97,0.85,0.85,0.9
2006,0.75,0.93,0.94,0.75,0.81,0.83
2007,0.24,0.53,0.76,0.88,0.89,0.92
2008,0.19,0.71,0.83,0.94,0.94,0.94
2009,0.28,0.91,0.92,0.87,0.88,0.88
2010,0.52,0.91,0.94,0.97,0.98,0.98
2011,0.94,0.98,0.98,0.91,0.92,0.95
2012,0.29,0.95,0.95,0.95,0.95,0.99
2013,0.92,0.99,0.99,0.97,0.97,0.97
2014,0.7,0.94,0.96,0.9,0.9,0.92
2015,0.56,0.7,0.73,0.89,0.94,0.95
2016,0.37,0.89,0.9,-1.32,0.41,0.57
2017,0.72,0.88,0.94,0.86,0.95,0.97
2018,0.91,0.98,0.98,-0.84,0.63,0.65
2019,0.91,0.95,0.97,0.53,0.88,0.95
2020,-0.213,0.704,0.829,0.684,0.832,0.891
