x,y,Uh
1615716,7537232,19.0
1615711,7537133,21.5
1615705,7537034,21.3
1615694,7536934,19.0
1615686,7536834,14.5
1615681,7536740,7.9
1615822,7537232,17.4
1615822,7537126,20.9
1615812,7537031,21.3
1615805,7536935,18.9
1615794,7536835,16.6
1615780,7536734,9.6
1615927,7537311,10.0
1615918,7537220,17.5
1615916,7537120,19.1
1615905,7537023,19.1
1615899,7536923,17.7
1615891,7536823,16.0
1615890,7536725,12.8
1615879,7536626,5.5
1616020,7537315,9.7
1616017,7537221,15.3
1616017,7537113,16.8
1616010,7537021,17.1
1615998,7536922,16.5
1615995,7536818,15.4
1615987,7536724,12.7
1615978,7536617,5.7
1616134,7537411,0.2
1616121,7537300,10.7
1616120,7537206,13.7
1616113,7537101,15.2
1616105,7537006,16.2
1616099,7536903,16.3
1616094,7536801,15.6
1616088,7536709,12.9
1616078,7536609,5.9
1616226,7537400,1.2
1616227,7537307,9.6
1616224,7537208,13.6
1616219,7537103,14.8
1616210,7537007,15.6
1616192,7536895,16.0
1616193,7536805,15.6
1616185,7536705,12.5
1616171,7536601,5.1
